序号,可溶性固形物（SSC）,酸碱性（PH）,果皮硬度（N）,色差,maturity_label,maturity_name
551,12.3,3.2,844.089,13.318127281508,1,半成熟
552,12.4,3.26,794.939,11.1777833364405,1,半成熟
553,12.4,3.28,735.174,10.2079971310486,2,成熟
554,13.6,3.23,727.56,11.4645995723702,2,成熟
555,13.2,3.23,798.093,10.7847457549149,1,半成熟
556,12.6,3.16,966.387,14.1343957375233,1,半成熟
557,12.5,3.2,853.473,13.7313689653754,1,半成熟
558,12.3,3.19,660.103,14.5558001967977,1,半成熟
559,12.5,3.29,754.557,10.5235746571542,2,成熟
560,12.9,3.3,564.803,10.669596617215,2,成熟
561,14.2,3.21,771.018,8.75807102629316,2,成熟
562,12.6,3.14,652.181,14.7436465650198,1,半成熟
563,11.8,3.31,663.411,13.0554185042345,2,成熟
564,12.6,3.29,710.253,10.6509664875405,2,成熟
565,12.6,3.21,778.017,13.3543452041129,1,半成熟
566,12.9,3.17,937.466,11.9588827214922,1,半成熟
567,12.8,3.19,920.852,12.2186532979938,1,半成熟
568,13.2,3.16,857.934,12.4516409698408,1,半成熟
569,12.9,3.17,1003.077,13.0585682960099,1,半成熟
570,12.7,3.33,666.18,11.8315242662065,2,成熟
571,11.9,3.15,853.704,12.7498231669894,1,半成熟
572,12.6,3.29,685.64,10.2241453561322,2,成熟
573,13.5,3.17,868.626,10.7451022420329,1,半成熟
574,13.0,3.35,605.723,7.62057069007665,2,成熟
575,14.2,3.22,660.642,7.98233437334428,2,成熟
576,13.8,3.19,764.018,12.1209259228865,1,半成熟
577,13.8,3.2,827.167,9.35852007923499,2,成熟
578,13.4,3.29,516.037,7.25026357067735,2,成熟
579,12.1,3.28,625.337,11.008000129254,2,成熟
580,11.9,3.22,673.717,9.91090793789768,2,成熟
581,12.5,3.19,797.477,13.2294239683887,1,半成熟
582,12.7,3.13,878.394,13.3254728162247,1,半成熟
583,12.7,3.17,924.929,13.6017320954422,1,半成熟
584,13.8,3.22,961.157,11.0624185117943,1,半成熟
585,13.7,3.19,926.467,11.8725452384867,1,半成熟
586,12.5,3.19,625.644,11.498933000779,2,成熟
587,12.9,3.2,677.64,11.0835008421753,2,成熟
588,14.2,3.16,812.476,9.58081646465953,2,成熟
589,13.7,3.18,596.185,11.9293840567188,2,成熟
590,12.7,3.28,568.802,9.69710680062303,2,成熟
591,12.3,3.19,657.642,11.4707719378677,2,成熟
592,13.3,3.17,771.018,10.4732729067534,2,成熟
593,11.9,3.33,576.879,11.3579486454667,2,成熟
594,13.4,3.21,898.316,11.7090683802024,1,半成熟
595,12.5,3.26,603.261,12.2164686286187,2,成熟
596,12.9,3.09,902.546,13.9826025402727,1,半成熟
597,13.0,3.27,598.262,9.76332405075657,2,成熟
598,13.1,3.18,671.102,10.0462108826987,2,成熟
599,12.8,3.28,596.185,10.7721046771394,2,成熟
600,13.0,3.24,800.631,9.63974780470542,2,成熟
601,12.9,3.22,960.926,11.7958806603405,1,半成熟
602,14.0,3.23,603.338,7.89437463946781,2,成熟
603,12.6,3.18,673.256,10.9302985116415,2,成熟
604,13.0,3.3,672.564,9.40096486541134,2,成熟
605,12.5,3.15,814.399,10.8773825313549,1,半成熟
606,13.9,3.24,538.651,8.65933897281489,2,成熟
607,12.9,3.26,764.787,8.75649006970889,2,成熟
608,13.4,3.3,667.564,7.22288006127037,2,成熟
609,13.1,3.23,792.785,9.66397650696563,2,成熟
610,13.5,3.25,697.408,7.42310793589638,2,成熟
611,12.5,3.19,791.785,11.3953482865042,1,半成熟
612,13.5,3.28,638.182,8.38060995767723,2,成熟
613,13.4,3.22,579.032,8.44327707828022,2,成熟
614,13.2,3.29,652.104,7.21708992371776,2,成熟
615,14.8,3.26,736.943,6.85973813934521,2,成熟
616,13.3,3.28,645.027,9.8376658348616,2,成熟
617,13.4,3.28,571.033,7.51638135196243,2,成熟
618,13.1,3.23,648.258,7.68981235903175,2,成熟
619,13.2,3.25,645.335,8.33747235676815,2,成熟
620,12.7,3.2,691.024,9.58011364059985,2,成熟
621,12.7,3.19,648.796,10.144581305004,2,成熟
622,13.5,3.24,463.734,7.70020474576256,2,成熟
623,12.9,3.26,588.186,9.907477751114,2,成熟
624,13.2,3.23,654.719,11.4387307584382,2,成熟
625,12.4,3.2,688.793,10.6779464911385,2,成熟
626,14.3,3.24,697.408,7.34709305754137,2,成熟
627,13.2,3.24,652.873,9.3285506882691,2,成熟
628,13.6,3.15,723.791,10.9019131832618,2,成熟
629,13.2,3.3,637.336,8.09791431422482,2,成熟
630,12.8,3.13,784.324,10.4535372216932,2,成熟
631,14.1,3.26,619.799,8.34524800831522,2,成熟
632,13.5,3.3,706.715,7.19082328232957,2,成熟
633,12.9,3.26,684.409,9.82156290431155,2,成熟
634,13.0,3.22,688.178,11.0411678059618,2,成熟
635,13.3,3.28,720.252,7.47699435834988,2,成熟
636,12.8,3.25,689.87,9.4464313375256,2,成熟
637,12.5,3.08,912.545,12.9735344542217,1,半成熟
638,13.2,3.19,631.028,10.0583367643434,2,成熟
639,13.1,3.23,825.475,9.87600348137186,1,半成熟
640,13.0,3.23,675.256,10.242086510541,2,成熟
641,12.7,3.21,745.174,10.2351428454495,2,成熟
642,13.7,3.26,605.492,8.42883610910917,2,成熟
643,12.9,3.15,682.486,10.1507780466968,2,成熟
644,12.5,3.15,722.175,12.1785426533968,1,半成熟
645,13.1,3.18,634.951,9.18972857597145,2,成熟
646,12.8,3.25,533.728,10.6703063002883,2,成熟
647,12.9,3.15,635.028,9.55164312798186,2,成熟
648,12.3,3.09,718.176,10.3133475940295,2,成熟
649,11.3,3.12,788.632,12.6984453159622,1,半成熟
650,12.7,3.14,736.174,11.6117946342972,2,成熟
651,11.1,3.23,734.251,13.0898393928821,1,半成熟
652,12.4,3.1,910.622,13.9704323822929,1,半成熟
653,12.7,3.21,707.1,11.7329544417593,2,成熟
654,13.0,3.21,670.025,11.0472997154743,2,成熟
655,12.1,3.16,788.247,10.5656507776174,1,半成熟
656,12.7,3.18,850.319,11.4287727174859,1,半成熟
657,11.9,3.19,728.098,13.3561816959949,1,半成熟
658,13.1,3.13,739.866,12.6326577999913,1,半成熟
659,12.6,3.21,639.182,10.7217198553393,2,成熟
660,13.3,3.17,803.554,10.0057174789612,2,成熟
661,11.5,2.96,828.859,13.15194151686,1,半成熟
662,11.8,2.94,848.166,12.6197497208846,1,半成熟
663,12.7,3.0,711.33,10.7784667446049,2,成熟
664,11.1,2.93,709.715,16.0858326410903,1,半成熟
665,11.3,2.97,594.877,11.5011149797101,2,成熟
666,11.3,3.0,593.724,12.7980413026075,2,成熟
667,11.2,2.95,588.032,12.3946825540345,2,成熟
668,11.7,2.97,636.797,11.8102028263292,2,成熟
669,11.2,2.96,622.568,14.6095558872647,1,半成熟
670,10.7,2.92,574.571,14.5226673730128,2,成熟
671,12.1,2.9,574.417,10.7184812958949,2,成熟
672,11.1,3.0,720.714,12.1561179006049,1,半成熟
673,11.4,2.98,641.335,12.5803380535123,2,成熟
674,10.8,2.89,745.635,14.5446715979076,1,半成熟
675,12.0,2.95,705.177,12.188623983927,1,半成熟
676,11.4,2.93,834.09,12.381779696871,1,半成熟
677,11.4,2.93,769.018,12.7393546222726,1,半成熟
678,12.6,3.02,651.95,12.2993807684356,2,成熟
679,11.7,2.94,856.857,11.1069014005457,1,半成熟
680,11.9,2.96,776.402,12.4302313274443,1,半成熟
681,11.8,2.94,635.028,11.5485647578958,2,成熟
682,11.8,2.98,635.49,11.4437210449,2,成熟
683,10.8,2.89,845.397,13.4501520571277,1,半成熟
684,12.4,2.99,567.803,10.1371403275663,2,成熟
685,12.7,3.04,464.503,9.7372026739764,2,成熟
686,12.9,3.07,553.034,9.06227708559692,2,成熟
687,11.5,2.94,576.802,11.4307788811863,2,成熟
688,11.8,2.97,594.877,11.8696865696885,2,成熟
689,11.3,2.95,768.095,13.4146882656412,1,半成熟
690,12.8,3.05,605.03,8.64706342156486,2,成熟
691,12.4,3.02,645.72,10.6760736112597,2,成熟
692,12.1,2.98,680.794,10.1626555915566,2,成熟
693,12.3,2.94,712.253,10.378218408286,2,成熟
694,11.9,2.94,613.568,10.5888510946431,2,成熟
695,11.5,2.95,724.252,11.8016057508005,1,半成熟
696,11.3,2.94,885.547,14.3288990682555,1,半成熟
697,10.6,2.94,807.63,16.4285080098544,1,半成熟
698,11.6,2.91,964.003,13.4216940314282,1,半成熟
699,12.3,3.01,708.638,11.3123416582692,2,成熟
700,12.7,2.99,760.095,9.70286076769937,2,成熟
701,12.2,2.99,801.092,11.2291246114724,1,半成熟
702,12.7,3.01,809.938,10.8440065022803,1,半成熟
703,12.0,2.97,563.034,9.66439237360202,2,成熟
704,13.1,3.04,698.562,9.7455673191939,2,成熟
705,12.6,3.0,673.025,9.58306526618586,2,成熟
706,12.6,2.98,719.329,9.5066214953477,2,成熟
707,11.5,2.93,778.863,11.6066518340814,1,半成熟
708,11.8,2.97,657.565,10.6464524880779,2,成熟
709,11.6,2.99,627.029,13.3604042950474,2,成熟
710,10.2,2.86,1071.533,18.1372042717785,1,半成熟
711,12.5,3.03,667.333,9.69062585276682,2,成熟
712,11.8,2.95,809.861,11.7516962856499,1,半成熟
713,12.1,3.02,857.011,8.98272551250894,1,半成熟
714,13.2,2.98,767.249,10.2727561897511,2,成熟
715,11.8,2.93,749.865,10.3891727333698,2,成熟
716,12.6,3.02,951.465,11.7254789111011,1,半成熟
717,13.7,3.06,609.722,9.41823251508979,2,成熟
718,10.1,2.84,866.703,16.5400473485407,1,半成熟
719,12.8,3.01,672.948,10.4125430240114,2,成熟
720,13.4,3.06,586.955,8.49184219859936,2,成熟
721,11.6,3.02,703.869,10.0701248139524,2,成熟
722,13.5,3.08,735.867,9.14044597994018,2,成熟
723,13.0,3.01,731.79,10.3429633285765,2,成熟
724,12.8,3.08,743.328,10.9665786762408,2,成熟
725,13.4,3.06,857.55,11.7616614409348,1,半成熟
726,13.1,3.06,735.867,11.4495551218165,2,成熟
727,12.2,2.98,726.483,12.9548111640329,1,半成熟
728,12.4,2.99,636.49,11.5848057126691,2,成熟
729,12.1,2.96,612.876,10.8242555908793,2,成熟
730,11.9,2.92,817.245,11.5914124224438,1,半成熟
731,12.6,2.98,913.622,11.1263203537273,1,半成熟
